No,komentar,label,link vid,Unnamed: 4,Unnamed: 5,Unnamed: 6
332,ariel tatum : harus nyapu gmna lg gue😩,1,,,,
333,MUKA SEIRENGGG itu jadi pemeran ahn hyo seop,0,,,,
334,2 manusia terlihat panik😭😭😭,1,,,,
335,ariel tatum sampe nunduk,1,,,,
336,Tebak isi pikiran ariel tatum 😭,1,,,,
337,"""gabakal gue undang juga""
GAKAN GUE TONTON JUGA😭🫵",0,,,,
338,ariel tatum : anj anjjj kelompok gua ga ada yang bener,1,,,,
339,"baca komen aktif, ngeriset males",0,,,,
340,itu si ariel tatum udah nahan tantrum😭🙏,1,,,,
341,Caitlin sm ariel udh waswas bgt😭🙏🏻,1,,,,
342,ABIDZAR lo remake film JODHA AKBAR aja pemeran cewe nya lina mukherjee,0,,,,
343,ariel tatum hebat bgt nahan ga nempeleng si abizar jir😭🫵,0,,,,
344,anjir dark bgt abidzar,0,,,,
345,"Udh ga riset, pede lagi. Heran udh dikritik bukannya introspeksi malah sok i dont give a fuck  ew🙄 belum jadi apa apa aja udah se arogan ini gimana nanti",0,,,,
346,muka se kusem itu di kasih untuk jadi ahn hye seop😭,0,,,,
347,busettttt omongan nya dah kayak aktor terkenal satu dunia.,0,,,,
348,"""ga bakal diundang jg"" tapi kan kalian ttp butuh penonton woy lah😭😭😭",0,,,,
349,abizarrrr foto lu noh di twitter masih adaa 😭😭😭,0,,,,
350,gayamu reng😭,0,,,,
351,ariel : ga pernah se muak ini,0,,,,
352,kesabaran ariel tatum diuji banget😂😂😂,0,,,,
353,JELEK BGTTT PUBLIC SPEAKINGNYA BENER BENER JELEKKKK PLEASSSS LO TUH DIBAYAR PH BUAT MAIN FILM TAPI KENAPA BLUNDER MULU SEOLAH-OLAH LO GA PERLU PENONTON. BODOH BANGETTT 😭😭😭,0,,,,
354,aura prindavan,1,,,,
355,"“pengen belajar sama karakter ini” TAPI LO GA NONTON SERIAL NYA ABIDZAR, GIMANA LO MAU BELAJAR SAMA KARAKTER INI?!",1,,,,
356,"itu cewek2nya langsung eye contact gtu wkwkw, sekali lirik tukar pikiran saking gumohnya mereka😭😭😭",1,,,,
357,ariel sampe gelisah😭,1,,,,
358,HE SAID DENGAN LANTANG : TIDAK BACA WEBTOON AND TIDAK NONTON DRAMANYAA,1,,,,
359,ahn hyoseop kuuu kang taemoo kuuu yg shining shimmering splendid ganteng gagah paripurna sempurna itu remakeannya se maghrib ini???? seriuss??😭😭,0,,,,
360,tiap hari ada aja gebrakannya si abidzar 🤣,1,,,,
361,tatapan ariel ke caitlin udah wanti wanti waktu abidzar ngomong 😭,1,,,,
362,gua liat ada sosok hitam pekat dibelakang ariel tatum😭,0,,,,
363,Abidzar gaada aura konglomerat tpi bisa dpet peran kang tae moo tuh gimana😭,0,,,,
364,eh dia ga punya manager yang ngontrol dia kah?,1,,,,
365,abidzar harusnya remake mahabarata,1,,,,
366,“ga diundang premier” la pikirmu ra butuh penonton a reng? 😭🙏🏻,0,,,,
367,kalo knetz nonton gmn ya? wkwk,1,,,,
368,MUKA ARIEL TATUM 😭🫵🏻,1,,,,
369,"""pgn belajar sama karakter ini"" tp mau buat versi sendiri lah begimna😭🙏",1,,,,
370,gosong amat mukanya😭,0,,,,
371,Ariel tatum capek banget pastii 😭😭 nyapuuu muluuu,1,,,,
372,maghrib banget😂,0,,,,
373,kok gelapnya lain gitu ya si abidzar😭,0,,,,
374,magrib banget,0,,,,
375,siapa si yang pertama bilang abidzar ganteng? lu liat ni😭,0,,,,
376,jefri nikol yg senga aja msh good attitude 🤣,1,,,,
377,ohh dia ga butuh penonton ternyata,0,,,,
378,astagfirullah kang Taemo bukan kang parkir 🙏,0,,,,
379,"So sorry, bru ngeh dia dibelakang🙏",1,,,,
380,Ga cuma magrib. Ini malah isyak bnget,1,,,,
381,"lagian siapa juga yang minat nonton, gue kan fanatik🤣🙏",0,,,,
382,Komuk ariel ama caitlin ga bisa bohong😭,0,,,,
383,mandi kata gua,0,,,,
384,abidzar cocokny remake mahabarata,1,,,,
385,gayamu reng,0,,,,
386,"pengen belajar karakter ini, tapi ga baca Webtoon ataupun nonton drama nya😭 Gimana mau belajar nya?😭 Disekolah atau apa aja kalau namanya belajar pasti butuh buku atau google buat referensi😭",1,,,,
387,"Berasa banget ariel tatum enegggghh 😭 saya juga mau muntah,kenapa cari peran cowok juga yang gelap banget 😭",0,,,,
388,tebak isi pikiran mbak aril,1,,,,
389,gada yg mau endors skincare kah?😭,0,,,,
390,Ariel: geramnye aku,1,,,,
391,Kang tae mo kenapa jadi black mamba😭,0,,,,
392,perasaan dulu ga sedekil ini deh? abis ngapain dia,0,,,,
393,aura nya ya ampunn,1,,,,
394,aura rohingya nya terlalu kuat,0,,,,
395,Serius nanya ada yang mau nonton?,1,,,,
396,respect banget gaada yang ngeludahin,0,,,,
397,bro pikir dia jefri nichol🤣,0,,,,
398,Eh anjir gw nyari mana si abidzarnya ko ada suara doang taunya diatas ariel😭😭😭😭,0,,,,
399,emang sih ga akan diundang tapi kan mereka yang nonton 😭🫵🏻,0,,,,
400,hati gua berisik bgt,1,,,,
401,"sebenernya ariel sm caitlin malu bgt dan deg2an parah itu, abidzar lu ko bisa sepede itu si ngomong sumpah",0,,,,
402,ini kalau di korea bakalan gak jdi tayang sih...,1,,,,
403,ternyata di atas vadel ada abidzar😭😭,0,,,,
404,dua wanita sedang tertekan oleh perkataan kang blunder🗿😭,0,,,,
405,bising banget magrib,0,,,,
406,tebak isi pikiran ariel tatum🤣,1,,,,
407,keren banget ariel tatum nggak ngeludahin,0,,,,
408,ini emg gelap? apa krna gk kena lighting?,0,,,,
409,"Ya allah istigfar mulu gw kalo liat si abidzar ngomong anjir😭😭😭, pdhl kmrin gak gini 🗿🤣",0,,,,
410,kaget ternyata seireng itu😭,0,,,,
411,"""gue pengen belajar sama karakter ini"" tapi lu gak nonton aslinya Abidzar..........
tapi lu gak nonton aslinya Abidzar..........",1,,,,
412,abidzar a nya apa,1,,,,
413,kak Ariel Tatum selalu smirk,1,,,,
414,abidzar magrib bgt jir 😹😹,0,,,,
415,cocok abidzar ganti Jefry nicol,0,,,,
416,kaya mang becak si abidzar😭,0,,,,
417,"abidzar, mending lu mandi dulu dah kata gua mah",0,,,,
418,"abidzar: ""anjay sepek bet gua sepek""",0,,,,
419,bikin malu anjir si abidzar elah,0,,,,
420,"abidzar sombong bgt jir bilang gtu,, tu film juga butuh penonton,tanpa penonton gk akan laku tu film😂",0,,,,
421,tukang parkir 😭😭,0,,,,
422,magrib bgt,0,,,,
423,Pingin blajar karakter ini tapi gak mau nonton drama nya Terus karakter yang mana yang mau lu coba,1,,,,
424,"gayanya udah kaya aktor chungmuro,Ryu Jun Yeol juga kalah gaya nya😭🤣🤣👊🏻",1,,,,
425,“pengen belajar sama karakter ini” tapi kemarin bilangnya mau bikin karakter versi dia😭,1,,,,
426,"di depannya ada cewe cewe cantik, putih. dia kebanting banget malah kaya supirnya",0,,,,
427,woila ga butuh penonton apa yaa😌,0,,,,
428,ariel : “aduhh pegel banget gendong tim mulu”,1,,,,
429,capek bgt pasti tu ariel 🤣🤣🤣,1,,,,
430,beliau mengira dirinya tampan dan pemberani,0,,,,
431,ini karena kamera atau apaa kok dark banget,0,,,,
432,nino gmna kabarnya kok ga prnah keliatan,1,https://www.tiktok.com/@cintakuya/video/7510803190347222303,,,
433,maap yaaa malah kayak Lina Mukherjee ngga sii😭🙏,0,,,,
434,Wkkwkwkw savage balesan2 komen2 kamu kak😂😂😂,1,,,,
435,tinggl d LN bukny mkin cantik glowing laaa ini beda sndiri 🤣 agak laen ng,0,,,,
436,Mungkin dia mengikuti standar cantik di negara sana,1,,,,
437,Aura peramal’nya kuat banget😭,0,,,,
438,"gak usah dengerin netizen indo, standar kecantikan di indo emang beda sama di luar",1,,,,
439,Ortunya sibuk ngurusin masalah orang lain sampek anaknya gak keurus,0,,,,
440,miris bgt yg komen padahal sesama perempuan loh.. dimana letak women support women nyaa???.. sehat sehat deh kalian😌,1,,,,
441,kek gerah banget liat nya😭,0,,,,
442,"dia cantik banget, dan gak merubah apapun bentuk wajahnya ♡
kalian yg komen negatif ngerti soal cantik natural gak? ini loh yang begini",1,,,,
443,Masih ke inget nino sekeluarga ngeprank lamar natasya wilona🤣,1,,,,
444,"🤣kalo di kampungku,pasti di ketawain😂",0,,,,
445,hah komennya?! padahal cantik bgt njir 😭,1,,,,
446,"cinta ajak gue ke sana , gue dah muak d indo😭🙏",1,,,,
447,"yang komen jelek pasti manusia2 yg menuntut dirinya harus sempurna, dituntut pasangan nya harus punya standar cantik indonesia juga. Cinta, congratulations kamu udah aman bgt di luar negeri 🥰",1,,,,
448,cinta maaf tapi lu kek dukun yg suka ramal pake kartu itu loh🥺,0,,,,
449,kok jdi kek Lina Mukherjee 😌😌,0,,,,
450,"melihat komen"" aku jadi ingat kata Namjoon BTS "" kita tidak jelek,kita hanya terlahir di masyarakat yg pintar menghakimi""
love your self cinta💜💟",1,,,,
451,"mukanya mirip mama nya, kulitnya warna bapak nya🙈🙏",0,,,,
452,"perasaan dulu dia putih bening gitu deh, inget banget pas dulu dia sekeluarga di undang ke brownis pas dia disuruh dance karna di kpo-pers, sumpah cantik banget,putih bersih bening juga",0,,,,
453,ini Fik yg sala orang tuanya...kok cinta Kuya jadi gini si..,0,,,,
454,as always u look so pretty girls 😍,1,,,,
455,"ni komen pada kenapa si, padahal manis lo dia nya",0,,,,
456,"di amerika dia wanita paling cantik🥰
setidaknya kamu benar hidup disana cin..
dari pada disini yang slalu memprioritaskan wanita cantik hanya yg berkulit putih 🥰🙏",1,,,,
457,mungkin standar cantik nya disana kyak gini 😌 tapi plis cinta kalo balik ke indo jngan kyak gini ya. takut nanti nggk bisa bedain yang mana Lina Mukherjee 🙏🏻,0,,,,
458,"Bruh dia seengganya dia bisa kabur dri negara ini, artinya dia win. kalian ini knp dah julid bgt😭",1,,,,
459,kalau cinta adalah fuji pasti di bilang magrib...,0,,,,
460,"Kulit oke bgt , tp pakaiannya kya anak punk😭",0,,,,
461,YOU LOOK VERY BEAUTIFUL 😭💗,1,,,,
462,Cba ganti eyesedow nya jangan itu 🙏🏻,0,,,,
463,ky ema emakkkk😏,0,,,,
464,padahal dia bnyak duit.,0,,,,
465,"gw lebih suka standar kecantikan luar sna ya, kalo standar kecantikan indo tu dah kaya mau adu cantik sm bidadari, bikin muak apa2 patoknya ya gitulah. cantik versi diri sendiri itu lebih baik❤️",1,,,,
466,"lama-kelamaaan makin mirip bapaknya ,",0,,,,
467,"jangan baca komen cinta , indah kan hariharimu , krena kamu hidup bukan dari uang mereka jadi abaikan mereka yg berbicara apapun . karena kalo kamu bales komenan mreka, mreka makin seneng menghujat. Bawaa happy cinta ..",1,,,,
468,Aura dukun tarot 😭,0,,,,
469,coba rubah model rambut nya ka🥰,0,,,,
470,"tapi aku liat selena gomez juga kayak setipe gitu cantiknya kaya gini,paham kan ya😭jadi ini ga jelek tapi kalian emang ga nyangka aja kan klo dia cinta kuyaaa",1,,,,
471,PADA GATAU TAN SKIN APA JIRR CAKEP GINI DI BILANG APALAHH,1,,,,
472,aura mba2 pembaca tarot kuat bangttt😭🙏,0,,,,
473,"d saat org berbindong""utk mnjdi putih,wanita ini dengan bangga nya dengan warna kulitnya..ini lah yg d sebut Bersyukur☺️",1,,,,
474,gaes glowing gak harus putih. cinta ini kek jenifer. lebih suka kulit tan. jadi bukan dia gak ngerawat diri. justru dia sengaja ngubah warna kulit biar eksotis,1,,,,
475,malah keliatan lbh mudaan emaknya😳,0,,,,
476,Coba dehhhhh …….Ke salon ?? 😁,0,,,,
477,"plisss normalisasikann tan skin teman""🙏🏻, semua kulit tuhh cakepp✨",1,,,,
478,"maaf bgt,pertama liat tak pikir peramal/mbah dukun g nge klo uya kuya",0,,,,
479,"Cantikkk bngtttt🥰please jgn dengerin orang ngomong apa,kmu cantik dengan pilihan kamu sendiri,setiap",1,,,,
480,"Cantik cinta kuya, inilah sebenarnya kulit Indonesia woy, Tan skin banggalah kalian, tapi cinta kurangi baju terbuka nya yaa",1,,,,
481,"guys mf tapi dimataq ini cantik,
smp pangling, klo gak krn liat nama dan komennya aq gk tau ini Cinta Kuya",1,,,,
482,cewe kaya looks cinta ini di amrik sana emg jatuhnya cewe kece woii. beda ama kita,1,,,,
483,Cinta banyak yang bilang aku mirip kamu 😭,1,,,,
484,Pdhl lebih cantik jdi diri sendiri,1,,,,
485,"kalo liat kak cinta aku percaya cantik itu gak harus putih,tapi gak cocok di kampungku,yg putih itu yg cantik😭😭😭😭",1,,,,
486,pdhl cantikan dulu,0,,,,
487,"dia gak mau putih guys pilihan dia sendri kok ,tanskin di luar negri kan mahal 🥰",1,,,,
488,"pengen deh kayak cinta,keluar negri +kerja disana😭",1,,,,
489,cinta sama amel carla awet muda bgt wkwk,1,,,,
490,tanpa oplas cantiknya alami....cinta cantik...😎,1,,,,
491,Cantikkk bangett tan skin🥰,1,,,,
492,Makeup zaman emak gw sih ini cin🥺,0,,,,
493,aku jg lebih suka natural gini sehari hari dr pada dempul😂,1,,,,
494,dia itu cantik di negara bule sana,1,,,,
495,Mirip cinta anak nya uya kuya,1,,,,
496,"lahh kirian aku bukann cinta anknya uya kuyaa, cantikk bgttt",1,,,,
497,kulitnya bgus bangettt🥰,1,,,,
498,cantik banget 🥰🥰 vibes nya sdah kyak Amerika latin 🥰🥰,1,,,,
499,"itu sesuai gaya di negara sana, memang kulit kaya gitu sesuai standar kecantikan negara sana, beda lagi kalo dia tinggal di Korea atau cina pasti gayanya sesuai negara situ juga, kayak nya dia fashionable",1,,,,
500,"maaf ya cinta di mata ku jadi kayak peramal,kayak mak2 tarot tu loh",0,,,,
501,kalian yg ngomen kaya uda sempurna aja😌,1,,,,
502,ngbayangin teh astrid pas muda😍,1,,,,
503,kamu cantik tanpa perlu validasi dari orang2 rese... 🥰,1,,,,
504,kulitnya idaman para bule☺️,1,,,,
505,tp trliat lbh tua dd umurnya😭,0,,,,
506,tan skin disana cantik loh guys di indo mah beda lagi,1,,,,
507,tapi rambutnya plis😭 mengurangi kecakepannya maap ya🫵🙏,0,,,,
508,"umurny berapa sih,maap keliatan tua",0,,,,
509,demi apa pdhl dulu imut bgt kok sekarang?,0,,,,
510,cinta lu knpeee cin? knape jadi begini,0,,,,
511,mau kek manapun dia tuh bahagia dengan dirinya sendiri tau.... kalian punya tenaga bgt ngurusin hidup orang.. lah gw mau mandi aja magernya minta maap 🤣,1,,,,
512,kget njir liat cinta skrng kek gni😭,0,,,,
513,jadi kaya umur 35 an gini🙂🙂🙂,0,,,,
514,cinta knpa malah kaya gini 😔,0,,,,
515,kulitnya bagus bgt deh,1,,,,
516,cantik banget loh kulitnya 😭 walaupun ga putih tpi bersih mulus🥰,1,,,,
517,"kaya gini di hujat ? ini cantik bgt woyy kulitnyaaa 🔥 , heran bgt definisi cantik harus putih 😒",1,,,,
518,lebih muda mamak dia di banding dia maaf haa cinta tapi emang iya😌,0,,,,
519,Gw kira anaknya uya kuya,1,,,,
520,"hiraukan aja hujatannya kk
yg pentingg ilmuuu nyaaa👍",1,,,,
521,Tua,0,,,,
522,Cinn cantik bangettt😭,1,,,,
523,"komennya kejam2 banget🥲 emangnya cinta salah apa sih sama kalian guys?? cantik itu gak mesti sulam alis,pake eyelash,softlen,sulam bibir dll😩",1,,,,
524,cantik bgt warna kulitnya🥰,1,,,,
525,pas dewasa gini dia mirip mamanya banget,1,,,,
526,kacamata nya.. bikin tua,0,,,,
527,"komennya pd knp si, emng dia harus begimane, idup idup dia ngapa pd ngatur dah😭",1,,,,
528,disni cinta mirip banget sama mama astrid,1,,,,
529,"Standar kecantikan org , negara, selera itu beda beda jdi stop buat nuntut standar kecantikan seperti di ekspektasi kalean !",1,,,,
530,Cakep Manis loh .. please lahh nggak semua orang harus putih ya kulitnya .. tiap orang punya style nya masing2 ..,1,,,,
531,masya allah cantik&mandiri😍,1,,,,
532,kenapa hostnya tidak langsung memutar video lawasnya? jangan terlalu menjaga perasaan tamu yang di undang,1,https://www.tiktok.com/@akuratco/video/7571755534978665729?is_from_webapp=1&sender_device=pc&web_id=7516794053255742983,,,
533,kaum 58% gak bakal sadar,0,,,,
534,apaalgi anak abah yang masih ngarep abahnya jadi presiden,0,,,,
535,Kambuh lagi org ini,0,,,,
536,ahhh termul ya tetep termul,1,,,,
537,bunglon...🤔🤔🤔,0,,,,
538,projo(negri dan rakyat) kocak2 jauh banget ngelak nya🤣🤣🤣,1,,,,
539,"apa yg harus di percaya SMA bapak ini,kasih video lama,kata beliau waktu dl projo itu apa",1,,,,
540,"Betapa malangnya negara ini, kasi makan,fasilitas mewah ke orang macam ini..",0,,,,
541,Tergantung siapa yg kasih makan,1,,,,
542,PROJO : NEGERI DAN RAKYAT ? Singkatan nyambungnya dmn?,1,,,,
543,mukanya😂😂😂😂,0,,,,
544,kalo dia bilang A berarti yg benar B,1,,,,
545,mntap pak ambil aja negeri ini buat pak projo,1,,,,
546,Dari mukanya aja sudah kelihatan 🤣,0,,,,
547,kalo ngga ngeles ya bukan ternak😂,0,,,,
548,mengganti logo berharap bisa masuk Gerindra🤣🤣🤣,1,,,,
549,Ngabalin jilid 2🗿,1,,,,
550,pak judi Arie lagi klarifikasi😂,0,,,,
551,internet cepat kan,1,,,,
552,ini org terlalu banyak karisifikasi 😂😂😂😂,0,,,,
553,projudol,0,,,,
554,Sengkuni,0,,,,
555,kambuh lagi,0,,,,
556,judol judol,0,,,,
557,Meluruskan= membelokan ?🤪 #paham🤣,1,,,,
558,muncungnya,0,,,,
559,🤣🤣🤣🤣 cuci muka cuci tangan cuci apa lagi,0,,,,
560,bahaya org ini,0,,,,
561,"kata Mak aku , orang itu yg dipegang dipercaya omongan nya....yg keluar dari MULUT nya....🤭🤭🤭",1,,,,
562,internet cepat buat apa,1,,,,
563,ke 20 min🗿,1,,,,
564,preett,1,,,,
565,orang apa ini guru,0,,,,
566,intinya cari makan.. tak ada yg lain....,1,,,,
567,pro apa ini?,1,,,,
568,dia siapa?,1,,,,
569,tidak jauh jauh dari ajudannya ngibulnya,0,,,,
570,Ngabalin versi 3 setelah Haikal hasan,0,,,,
571,angkot jangan dengerin😂,0,,,,
572,iya percaya ko 😌😌 🗿,1,,,,
573,baru tau arti yakult dikasih nyawa😭,0,,,,
574,sengkuni sengkuni,0,,,,
575,yang penting perut kenyang,1,,,,
576,"projo, JOnya apa?",0,,,,
577,jangan lupa kan jejak digital nya. Ruhut juga ini menempati diri pada penguasa. supaya tetap eksis 🤣,0,,,,
578,gangsinggghh....muter2🤣😂,0,,,,
579,nyari kerja skrg susah 😅😅😅,1,,,,
580,kapan masuk pengadilan Pak budi?😁,0,,,,
581,tahun itu dia ngomong Projo pro Jokowi. knpa gak ditunjukin aja video nya biar dia kemakan fakta yg pernah di omongin. ?,1,,,,
582,"mepet pasti ada butuhnya.. jangan mau pak Prabowo disusupi org"" beginian",1,,,,
583,ngisng aja,0,,,,
584,ya kali kejayaan selamanya bang 😂,0,,,,
585,siapa ya loe,1,,,,
586,di lupa rekam jejaknya 🤣☺️🤣,0,,,,
587,Yakin Projo dalam bahasa sansakerta negeri & rakyat ? coba cek geh di google translate 😂😂😂,1,,,,
588,ITU PRAJA BUKAN PROJO,1,,,,
589,Jadikan sekjen Gerindra...,0,,,,
590,Projo itu pro Jokowi 😀,0,,,,
591,omongan gak bisa di pegang bahaya,1,,,,
592,dia yg ngomong dia yg bantah sama kaya junjungannya,0,,,,
593,projo artinya negri dan rakyat😭😂,1,,,,
594,cari amannn....,1,,,,
595,garis lurus bersama pak jokowi gak kenal namanya budi ari,1,,,,
596,Budiiii Budi,0,,,,
597,apa aku yang kurang paham maksdnya 😏,1,,,,
598,dipotong sendri omongnya😁,0,,,,
599,Dia siapa sih,1,,,,
600,Gak pemuja gak mulyono nya 11 12 lah,0,,,,
601,Ngomong apa lagi di darto helm,0,,,,
602,artinya Projo itu artinya Projo 😂,1,,,,
603,Projo itu artinya Pro judol ?,0,,,,
604,projo artinya negri dan rakyat....apa hubungannya sattt😭😭,0,,,,
605,dari awal sdh gak jelas 🤣,0,,,,
606,Si Budi Judol dompetnya udh tebel 😂,0,,,,
607,"maaaf saya orang awam, saya coba nyari arti negeri dan rakyat kok beda ya",1,,,,
608,bukan netizen atau media yang bilang anda gak loyal ... tapi anda sendiri .. jejak digital itu pahit,1,,,,
609,dari muka aja kelihatan,0,,,,
610,keknya lebih tepat pro judol dah😒,0,,,,
611,dia pikir kita sebodoh pendukungnya!. 😩,0,,,,
612,model sengkuni...😄,0,,,,
613,fungsi anda apa ya,0,,,,
614,mukanya gak ada enak2nya diliat 😏,0,,,,
615,affiliate wajib tinggalin jejak,1,,,,
616,aura judol mya kuat banget,0,,,,
617,gedabrus 😂,0,,,,
618,bang coba duet sama firdaus kyke cocok deh,0,,,,
619,memang aturan pertama dipolitik adalah tidak tau malu.,0,,,,
620,ketika anjing lagi milih tuan yg ingin mengadopsi nya,0,,,,
621,aku lihat dia kok kaya lihat kotaran saya yah. adakah yang sama?,0,,,,
622,Ahh ngeless mulu,1,,,,
623,Harus nya diganti PLONGO,1,,,,
624,info link gacor dong bos,1,,,,
625,Orang kaya begini ga usah di kasih panggung,0,,,,
626,"botak ngak ada rambut,,dia ngk ad otak🤣🤣",0,,,,
627,hayo tebak mana lebih keras jidat budi ari apa batu bacan?,1,,,,
628,kalo tuan dan anjing bahasa lain nya apa??,0,,,,
629,"labi labi ,kadang di air kadang di laut",1,,,,
630,kebiasaan media yaa gini...ngasih panggung...makanya Konoha gak pernah maju..,1,,,,
631,fungsi nya projo itu apa sih,1,https://www.tiktok.com/@pecompedia/video/7569719283723291925?is_from_webapp=1&sender_device=pc&web_id=7516794053255742983,,,
632,tempat para gembel cari pakan,0,,,,
633,umur segini nggak paham projo😅,1,,,,
634,PROJO = pro jokowi,1,,,,
635,emg jokowi itu siapa???,1,,,,
636,koq nyanya ke saya..🤣🤣🤣,0,,,,
637,"relawan juga manusia Prof. butuh makan dan butuh jabatan, mknya kami hrs terus menjilat.",0,,,,
638,bikin gaduh negri ini,0,,,,
639,bela jokowi lah bos,1,,,,
640,ngerecokin negara,0,,,,
641,kok bisa ya muka nya mirip2 petinggi2 nya apa ini suatu kebetulan...???,1,,,,
642,fungsinya bikin gaduh dan untuk menutupi bobroknya rezim 10 th yg lalu,1,,,,
643,buang sampah di kali angke dan bersihkan got got yg buntu namanya juga relawan,1,,,,
644,MENJILAT junjungn nya 😅 kalau gak NGENJILAT gak bisa makan 🙃🤭,0,,,,
645,jaga jamban berak,0,,,,
646,untuk menggembor gembor kan tuan nya dan menjilat demi cuan,0,,,,
647,"promotor judi online,....😁😁",0,,,,
648,Ibu ini lrbih cerdas daripada para relawan,0,,,,
649,"ya iyalah di profesor ko,termul otaknya zonk",0,,,,
650,IBU INI MGOMONG APA 🤣,1,,,,
651,cerdas ibu Siti Zuhro 👍,1,,,,
652,ini Projo ngomong apa si,0,,,,
653,relawan itu baiknya kalo gak bubar dipidanakan saja karna bikin fitnah kisruh dengan buzer2nya,1,,,,
654,gimana mau bubar cari cuan nya dengan begitu,1,,,,
655,kalo dibubarkan dapurnya gak berasap bang,0,,,,
656,ini Jokowi punya dana tak terhingga untuk Tim relawan jadi uang nya entah dari mana dana politik Nya Hanya jaman Jokowi relawan berkelanjutan,0,,,,
657,"yang relawan Mulyono ,bayaran nya tetap berlanjut makanya mereka gak bubar",0,,,,
658,fredy ni orang indo apa bukan si,0,,,,
659,"orang yang berfikir sehat, beda dengan projo",0,,,,
660,kalau termul diskusi selalu memaksakan diri.,0,,,,
661,relawan hanya cari isi perut ke penguasa,1,,,,
662,para penjilat mulai.saling . cakaran.🤣🤣🤣🤣,1,,,,
663,RELAWAN BERUBAH JADI ORMAS YA CUMA PROJO 🤣🤣🤣,0,,,,
664,"kalau mereka berhenti sebagai relawan, mereka ga ada pendapatan (duit) lagi Prof.",1,,,,
665,"nyari duitnya emang begitu Bu,,klo ga jadi relawan ntar pengangguran kan ijasahnya palsu",0,,,,
666,Itu relawan cari cuwan....😂,1,,,,
667,betuuul prof,1,,,,
668,"ibu bicara panjang lebar itu nggk akan masuk sama Projo,",1,,,,
669,Semua Relawan harusnya otomatis bubar setelah Pemilu selesai seperti halnya Tim Sukses bukan malah dipelihara. Semua Tim Relawan Capres sudah bubar dengan sendirinya Kecuali Relawannya Jokowi tetap dipertahankan.,1,,,,
670,karena cari makannya dari situ,1,,,,
671,gak bakal ngerti Bu mreka di jelasin juga,0,,,,
672,relawan kalo di bubarin terus makan apa para relawan itu bu,1,,,,
673,ah sampai sekarang juga masih ada judol,0,,,,
674,bubarkan relawan,1,,,,
675,Damanik emang ga jelas cara ngomongnya serta jalan pikirannya. mungkin itu mulut belum pernah makan bangku sekolah 🤦,0,,,,
676,dasar termul,1,,,,
677,membuat masyarakat terpecah belah,1,,,,
678,Percuma di.jelaskan prof termul mana faham yang ada di otaknya cuma bagaimana keluarga mereka bisa makan,1,,,,
679,relawan yang sering bikin gaduh hingga demokrasi kita melorot,1,,,,
680,kalau relawan bubar tar ga di bayar lagi...buuu,1,,,,
681,pikirkan ekonomi supaya rakyat sejahtera ... politik terus kapan neres nya ... pemilu udah usai mari kita pikirkan raktyat supaya sejahtera.,0,,,,
682,"bener ibu ini, yg namanya relawan, jurkam, tim pemenangan, timses, itu biasanya adanya di musim pemilu, ini pemilu sdh lewat masih aja ada projo. nanti dibilang cari panggung malah tersinggung, malah gak trima. ingat Kontestasi dan rivalitas sudah selesai !!! mari bersatu bangun negeri ini, jangan sibuk sendiri dengan organisasimu !!.",1,,,,
683,"andi azwan kocak,,justru karna jaman budi ari,judol dilindungi,makanya pas dia berhenti jadi mentri,banyak yang berhati hati,karna backinganya udah gak ada",1,,,,
684,elawan pengen jadi komisaris bu🙏,0,,,,
685,relawan bayaran,0,,,,
686,ini bukan relawan lagi melainkan TERMUL namanya 😁😁,0,,,,
687,Ibu Siti Zuhro memang cerdas tuuuh...... is the best 👍👍,1,,,,
688,itu komplotan bukan relawan,1,,,,
689,Relawan apa kelompok penjilat?,0,,,,
690,relawan itu pundi nya cari uang aja,1,,,,
691,bubarkan Bunda.,1,,,,
692,hahahahahahahahaha kena deh hehehehe,1,,,,
693,karena relawan jaman Jokowi komonis itu menghidopkan komonis,0,,,,
694,"satu lagi ini hasil kerja jokowi, menurunkan demokerasi",0,,,,
695,sejak 2014 gaduh terus,1,,,,
696,"yang bahas seorang profesor,yang menghadiri mahasiswa. yang di bahas relawan projo relawan jokowi jokowi nya,,orang yg tidak berijazah/ijazah nya palsu.",0,,,,
697,sejak Jokowi jadi presiden lah ada relawan ada influencer dan piara buzzer ...pemecah belah anak bangsa 😂😂😂😂,0,,,,
698,Ibu Prof Siti Z. debat dak kelasnya dengan orang projo .karena orang ini tidak berkualitas.,0,,,,
699,ngomong aja gak tertib para termul,1,,,,
700,"jangan komentar Bu, nanti dipenjarakan Bu, nanti di pikir lawan penguasa",1,,,,
701,relawan itu penjilat,0,,,,
702,Beda bet klo orang cerdas berbicara,1,,,,
703,relawan termul cari sembako,1,,,,
704,fredy salah yg penting ngeyel,0,,,,
705,fredy fredy dah lah pusing rakyat,1,,,,
706,plisss carilah pekerjaan dengan cara bermartabat!!!🙏🙏🙏🙏,1,,,,
707,relawan gak jelas cuma cari panggung,0,,,,
708,betul bu relawan itu komplotan atau gerombolan buat apa ada partai politik,1,,,,
709,relawan Jokowi itu pengangguran jadi pengangguran itu cari makan,0,,,,
710,"Judol berhenti setelah budi arie berhenti jdi menteri, logikanya judol itu berhenti karena gak ada lagi Backup dari Budi Arie jangan-jangan😂",1,,,,
